,name,stats,p-value
0,goal_setting,0.5489187653127561,6.463153631875148e-05
1,environment_structuring,0.4921537214798354,0.0004418565962516039
2,task_strategies,0.3857835366777938,0.007403532601179451
3,time_management,0.410561437713212,0.004151112711855041
4,help_seeking,0.4429789199839106,0.0018194731447209686
5,self_evaluation,0.462979729589867,0.0010493130696913606
6,rehearsal,0.33162610831938943,0.022776889940789972
7,elaboration,0.49927210360169166,0.00035355437286113136
8,organization,0.4405749118821948,0.0019396430281511294
9,critical_thinking,0.5743804422973392,2.4240241974643683e-05
10,metacognitive_selfregulation,0.6870216108271022,9.670117955997043e-08
11,math_self_efficacy,0.618184694540584,3.6539336540862823e-06
12,internet_self_efficacy,0.4865457782848253,0.0005249192362631203
