,b_goal_setting,a_goal_setting,b_environment_structuring,a_environment_structuring,b_task_strategies,a_task_strategies,b_time_management,a_time_management,b_help_seeking,a_help_seeking,b_self_evaluation,a_self_evaluation,b_rehearsal,a_rehearsal,b_elaboration,a_elaboration,b_organization,a_organization,b_critical_thinking,a_critical_thinking,b_metacognitive_selfregulation,a_metacognitive_selfregulation,b_math_self_efficacy,a_math_self_efficacy,b_internet_self_efficacy,a_internet_self_efficacy
104206026.0,23.0,20.0,20.0,19.0,15.0,12.0,10.0,10.0,14.0,18.0,17.0,15.0,13.0,16.0,26.0,25.0,17.0,17.0,23.0,23.0,52.0,45.0,20.0,20.0,17.0,21.0
107202020.0,35.0,32.0,28.0,26.0,28.0,25.0,20.0,21.0,26.0,25.0,25.0,25.0,26.0,24.0,39.0,37.0,25.0,27.0,33.0,33.0,62.0,67.0,30.0,33.0,26.0,26.0
107206006.0,25.0,30.0,22.0,20.0,17.0,20.0,15.0,15.0,24.0,22.0,23.0,22.0,22.0,22.0,32.0,31.0,23.0,22.0,30.0,28.0,58.0,55.0,30.0,29.0,24.0,25.0
107206012.0,28.0,29.0,20.0,23.0,19.0,21.0,16.0,16.0,24.0,25.0,24.0,20.0,18.0,24.0,35.0,38.0,19.0,22.0,31.0,30.0,57.0,62.0,28.0,30.0,26.0,22.0
107206505.0,25.0,20.0,21.0,16.0,12.0,16.0,12.0,12.0,25.0,16.0,17.0,16.0,16.0,16.0,24.0,24.0,17.0,16.0,19.0,20.0,47.0,48.0,18.0,20.0,19.0,16.0
107206508.0,30.0,32.0,25.0,26.0,22.0,19.0,17.0,13.0,26.0,28.0,27.0,26.0,25.0,23.0,36.0,36.0,27.0,27.0,29.0,30.0,67.0,67.0,28.0,27.0,27.0,28.0
107206509.0,27.0,35.0,20.0,28.0,16.0,21.0,14.0,18.0,20.0,28.0,19.0,25.0,20.0,24.0,30.0,36.0,24.0,24.0,21.0,25.0,64.0,61.0,26.0,27.0,28.0,28.0
107206513.0,24.0,22.0,20.0,20.0,14.0,14.0,12.0,12.0,21.0,19.0,21.0,18.0,18.0,17.0,30.0,25.0,19.0,18.0,23.0,23.0,53.0,50.0,18.0,18.0,17.0,16.0
107302004.0,30.0,25.0,22.0,17.0,14.0,15.0,15.0,13.0,22.0,19.0,19.0,19.0,22.0,17.0,32.0,29.0,18.0,16.0,29.0,25.0,61.0,60.0,28.0,25.0,23.0,20.0
107302028.0,30.0,29.0,25.0,24.0,20.0,21.0,18.0,18.0,23.0,24.0,23.0,24.0,23.0,22.0,35.0,36.0,22.0,24.0,30.0,30.0,64.0,68.0,30.0,30.0,24.0,24.0
107302505.0,28.0,25.0,21.0,23.0,18.0,17.0,10.0,12.0,19.0,16.0,11.0,15.0,25.0,22.0,34.0,35.0,27.0,21.0,23.0,22.0,60.0,66.0,33.0,35.0,26.0,25.0
107302506.0,25.0,29.0,19.0,24.0,14.0,18.0,12.0,15.0,21.0,20.0,21.0,24.0,19.0,24.0,31.0,28.0,17.0,22.0,28.0,29.0,59.0,59.0,26.0,25.0,25.0,24.0
107302532.0,28.0,29.0,22.0,22.0,18.0,20.0,16.0,16.0,21.0,23.0,21.0,22.0,23.0,22.0,31.0,34.0,21.0,22.0,29.0,26.0,61.0,64.0,29.0,27.0,22.0,23.0
107303019.0,20.0,20.0,16.0,16.0,16.0,16.0,12.0,12.0,16.0,16.0,16.0,16.0,16.0,16.0,24.0,24.0,17.0,16.0,20.0,20.0,50.0,48.0,20.0,20.0,16.0,16.0
107303506.0,22.0,25.0,20.0,20.0,20.0,20.0,15.0,16.0,20.0,21.0,20.0,21.0,21.0,20.0,29.0,30.0,20.0,21.0,25.0,25.0,56.0,58.0,25.0,25.0,20.0,20.0
107303531.0,28.0,29.0,23.0,25.0,21.0,22.0,17.0,11.0,24.0,20.0,21.0,24.0,23.0,24.0,33.0,33.0,24.0,16.0,24.0,30.0,54.0,67.0,24.0,31.0,22.0,22.0
107303533.0,31.0,30.0,25.0,26.0,20.0,15.0,17.0,15.0,24.0,20.0,23.0,23.0,24.0,24.0,38.0,39.0,25.0,23.0,33.0,32.0,63.0,65.0,26.0,30.0,25.0,25.0
107303534.0,22.0,23.0,18.0,16.0,15.0,17.0,12.0,12.0,15.0,15.0,18.0,17.0,20.0,17.0,25.0,25.0,17.0,16.0,21.0,20.0,42.0,49.0,22.0,22.0,17.0,17.0
107303541.0,35.0,30.0,28.0,24.0,28.0,24.0,21.0,18.0,28.0,24.0,28.0,24.0,28.0,24.0,42.0,36.0,28.0,24.0,35.0,30.0,72.0,64.0,35.0,30.0,28.0,24.0
107303556.0,25.0,25.0,23.0,20.0,16.0,17.0,11.0,15.0,20.0,20.0,18.0,20.0,20.0,20.0,30.0,30.0,19.0,20.0,22.0,25.0,54.0,59.0,23.0,26.0,19.0,20.0
107303558.0,23.0,23.0,17.0,20.0,15.0,16.0,12.0,10.0,19.0,15.0,20.0,17.0,23.0,16.0,30.0,24.0,17.0,17.0,17.0,23.0,56.0,54.0,17.0,17.0,17.0,16.0
